Id Label Name Desc Units Prereq Antireq
CPSC581 CPSC581 "Human-Computer Interaction II" "Intermediate and advanced topics and applications in human-computer interaction, to further one's skills for designing highly interactive human-computer interfaces." "3 units" "" ""+
CPSC471 CPSC471 "Data Base Management Systems" "Conceptual, internal and external data bases. Relational data base systems and SQL. The normal forms, data base design, and the entity-relationship approach." "3 units" "" ""+
SENG480 SENG480 "" "" "3 units" "" ""+
CPSC519 CPSC519 "Introduction to Quantum Computation" "Introduction to quantum computing. Quantum algorithms, quantum search, quantum fourier transforms, quantum error correcting codes, quantum cryptography, nonlocality and quantum communication complexity, and quantum computational complexity." "3 units" "" ""+
ENCH407 ENCH407 "" "" "3 units" "" ""+
CPSC599.77 CPSC599.77 "" "" "3 units" "" ""+
CPSC335 CPSC335 "Intermediate Information Structures" "A continuation of Computer Science 319 or 331. Collision resolution in hash tables, search algorithms, advanced tree structures, strings. Advanced algorithmic tools for the storing and manipulation of information." "3 units" "" ""+
CPSC675 CPSC675 "Datawarehouse Systems" "Design, development and deployment of datawarehouses. Schemas, models, data organization, OLAP, tuning, data mining and architectural models may be discussed." "3 units" "" ""+
MATH375 MATH375 "" "" "3 units" "" ""+
ENSF591 ENSF591 "" "" "3 units" "" ""+
MATH376 MATH376 "Differential Equations I " "Classification of ordinary differential equations, first and second order equations with applications, series solutions about regular points and singular points, special functions, Laplace transform. " "3 units" "" ""+
ENEL573 ENEL573 "" "" "3 units" "" ""+
CPSC701 CPSC701 "Research Topics in Computer Science" "In-depth course on a focused current research topic in Computer Science. Involves a significant research component and requires substantial background knowledge." "3 units" "" ""+
STAT321 STAT321 "Introduction to Probability " "A calculus-based introduction to probability theory and applications. Elements of probabilistic modelling, Basic probability computation techniques, Discrete and continuous random variables and distributions, Functions of random variables, Expectation and variance, Multivariate random variables, Conditional distributions, Covariance, Conditional expectation, Central Limit Theorem, Applications to real-world modelling. " "3 units" "" ""+
CPSC601.13 CPSC601.13 "" "" "3 units" "" ""+
CPSC429 CPSC429 "" "" "3 units" "" ""+
CPSC583 CPSC583 "Introduction to Information Visualization" "Principles of information representation, presentation and interaction. Development of mappings from data to visual structures and exploration, navigation, cues, distortion and emphasis techniques." "3 units" "" ""+
BTMA331 BTMA331 "" "" "3 units" "" ""+
CPSC641 CPSC641 "Performance Issues in High Speed Networks" "An overview of current research in high speed networks. Topics covered will include the current Internet, the future Internet, wireless networks, optical networks, Asynchronous Transfer Mode (ATM), TCP/IP, network traffic measurement, web server performance, and mobile computing. Emphasis will be placed on network performance issues for next-generation Internet protocols and applications." "3 units" "" ""+
CPSC696 CPSC696 "Information Security Seminar" "Topics in information security, such as security management, emerging threats, research frontiers using case studies and best practices. " "3 units" "" ""+
CPSC781 CPSC781 "Advanced Topics in Human-Computer Interaction" "The topics covered will change year-by-year depending on current advances in human computer interaction." "3 units" "" ""+
PMAT331 PMAT331 "" "" "3 units" "" ""+
CPSC333 CPSC333 "" "" "3 units" "" ""+
CPSC501 CPSC501 "Advanced Programming Techniques" "Theory and application of advanced programming methods and tools. Recent issues as well as those of an enduring nature will be discussed." "3 units" "" ""+
CPSC331 CPSC331 "Data Structures, Algorithms, and Their Analysis" "Fundamental data structures, including arrays, lists, stacks, queues, trees, hash tables, and graphs. Algorithms for searching and sorting. Introduction to the correctness and analysis of algorithms. For computer science majors and those interested in algorithm design and analysis, information security, and other mathematically-intensive areas." "3 units" "" ""+
ENCM335 ENCM335 "Programming Fundamentals for Electrical Engineers" "Key features of the C programming language. Pointers, memory models and memory management. Modular design of software; information hiding. Manipulation of text files and binary files. Introduction to recursion." "3 units" "" ""+
PMAT315 PMAT315 "" "" "3 units" "" ""+
CPSC527 CPSC527 "Computer Viruses and Malware" "Study of computer viruses, worms, Trojan horses, and other forms of malicious software. Countermeasures to malicious software. Legal and ethical issues, and some general computer and network security issues." "3 units" "" ""+
CPSC433 CPSC433 "Artificial Intelligence" "An examination of the objectives, key techniques and achievements of work on artificial intelligence in Computer Science." "3 units" "" ""+
CPSC461 CPSC461 "Information Structures" "File architecture and manipulation techniques for various file types. Physical characteristics of current mass storage devices. Advanced data structures and algorithms for implementing various sequential and hierarchical file structures. File organization and design for various applications, file systems and other storage management techniques including website design." "3 units" "" ""+
CPSC643 CPSC643 "Modern Wireless Networks" "An introduction to the fundamentals and applications of wireless networks." "3 units" "" ""+
CPSC619 CPSC619 "Quantum Computation" "Introduction to quantum computing. Quantum algorithms, quantum search, quantum fourier transforms, quantum error correcting codes, quantum cryptography, nonlocality and quantum communication complexity, and quantum computational complexity." "3 units" "" ""+
CPSC572 CPSC572 "Fundamentals of Social Network Analysis and Data Mining " "Introduction to data mining with emphasis on frequent pattern mining, clustering and classification, data collection, network construction, basic graph theory concepts and network analysis metrics, and case studies. " "3 units" "" ""+
CPSC557 CPSC557 "" "" "3 units" "" ""+
CPSC591 CPSC591 "Rendering" "Physical foundations of illuminations techniques. Colour. Radiometry and photometry. Reflection models. The rendering equation. Ray tracing. Monte Carlo techniques. Sampling and antialiasing. Texturing. Radiosity. Photon tracing. Volume rendering. Image-based rendering. Real-time shading." "3 units" "" ""+
CPSC653 CPSC653 "Computational Geometry" "Geometric searching, hull proximity and intersection data structures and algorithms and their complexity." "3 units" "" ""+
CPSC575 CPSC575 "iProgramming for Creative Minds" "Design, develop and market apps. This course has a focus on developing, implementing and evaluating ideas in teams and gaining entrepreneurial skills for software development and marketing. " "3 units" "" ""+
CPSC599.44 CPSC599.44 "" "" "3 units" "" ""+
STAT211 STAT211 "" "" "3 units" "" ""+
MATH267 MATH267 "University Calculus II" "A concluding treatment of single variable calculus and an introduction to calculus in several variables. Single variable calculus: techniques of integration, sequences, series, convergence tests, and Taylor series. Calculus of several variables: partial differentiation, multiple integration, parametric equations, and applications" "3 units" "" ""+
CPSC529 CPSC529 "" "" "3 units" "" ""+
DATA211 DATA211 "Programming with Data " "A hands-on introduction to basic coding skills, including core programming concepts and the fundamentals of reading, writing, and executing code – with a focus on data manipulation. Emphasizes important tools and practices for programming with data, including development environments, source control, and debugging." "3 units" "" ""+
CPSC531 CPSC531 "Systems Modelling and Simulation" "An introduction to the modelling and simulation of stochastic systems; programming language issues; model and tool design; input data modelling; simulation experiments; and the interpretation of simulation results." "3 units" "" ""+
MATH353 MATH353 "" "" "3 units" "" ""+
MATH391 MATH391 "" "" "3 units" "" ""+
MATH493 MATH493 "" "" "3 units" "" ""+
CPSC518 CPSC518 "Introduction to Computer Algebra" "Fundamental problems, classical and modern algorithms, and algorithm design and analysis techniques of use in computer algebra. Integer and polynomial arithmetic. Additional problems in computer algebra, possibly including problems in computational linear algebra, factorization, and concerning systems of polynomial equations will be considered as time permits." "3 units" "" ""+
CPSC687 CPSC687 "Computer Animation" "Principles of traditional animation, key framing, parametric and track animation, free form deformation, inverse kinematics, dynamics, spring mass systems, particle systems, numerical integration, Lagrangian constraints, space time constraints, collisions, human animation, behavioural animation, metamorphosis, implicit animation techniques, animating liquids, gases and cloth, motion capture." "3 units" "" ""+
ENCM339 ENCM339 "" "" "3 units" "" ""+
CPSC418 CPSC418 "Introduction to Cryptography" "The basics of cryptography, with emphasis on attaining well-defined and practical notations of security. Symmetric and public key cryptosystems; one-way and trapdoor functions; mechanisms for data integrity; digital signatures; key management; applications to the design of cryptographic systems. In addition to written homework, assessment will involve application programming; additional mathematical theory and proof-oriented exercises will be available for extra credit." "3 units" "" ""+
MATH275 MATH275 "Calculus for Engineers and Scientists " "An extensive treatment of differential and integral calculus in a single variable, with an emphasis on applications. Differentiation: derivative laws, the mean value theorem, optimization, curve sketching and other applications. Integral calculus: the fundamental theorem of calculus, techniques of integration, improper integrals, and areas of planar regions. Infinite series: power series, Taylor’s theorem and Taylor series. " "3 units" "" ""+
MATH277 MATH277 "Multivariable Calculus for Engineers and Scientists " "An introduction to calculus of several real variables: curves and parametrizations, partial differentiation, the chain rule, implicit functions; integration in two and three variables and applications; optimization and Lagrange multipliers. " "3 units" "" ""+
MATH321 MATH321 "" "" "3 units" "" ""+
CPSC584 CPSC584 "Human-Robot Interaction" "Introduction to the design, implementation and evaluation of human-robot interfaces. Topics include the evaluation of human-robot interaction (HRI), theoretical, philosophical and ethical issues, exploration of applications and tasks, prototyping HRI tools, and practical implementation and evaluation methods." "3 units" "" ""+
CPSC673 CPSC673 "Distributed Database Systems" "Introduction to distributed database systems. Topics covered include: architecture, data design, query processing, transaction management, multidatabases, object-oriented databases and advanced system issues." "3 units" "" ""+
CPSC215 CPSC215 "" "" "3 units" "" ""+
CPSC231 CPSC231 "Introduction to Computer Science for Computer Science Majors I" "Introduction to problem solving, the analysis and design of small-scale computational systems, and implementation using a procedural programming language. For computer science majors." "3 units" "" ""+
CPSC594 CPSC594 "Software Engineering Project" "A software engineering project conducted under the guidance of a faculty member." "6 units" "" ""+
CPSC455 CPSC455 "" "" "3 units" "" ""+
CPSC411 CPSC411 "Compiler Construction" "Introduction to compilers, interpreters, and the tools for parsing and translation. Lexical analysis, context free grammars and software tools for their recognition. Attribute grammars and their applications in translation and compiling." "3 units" "" ""+
MATH331 MATH331 "Advanced Calculus for Energy Engineering" "A broad introduction to ordinary differential equations, multivariable calculus and elements of vector calculus. Differential equations: linear ordinary differential equations, and systems of linear ordinary differential equations. Calculus of several variables: partial differentiation, the chain rule, double and triple integrals. Vector Calculus: vector fields, line integrals, and flux integrals." "3 units" "" ""+
CPSC526 CPSC526 "Network Systems Security" "Attacks on networked systems, tools and techniques for detection and protection against attacks including firewalls and intrusion detection and protection systems, authentication and identification in distributed systems, cryptographic protocols for IP networks, security protocols for emerging networks and technologies, privacy enhancing communication. Legal and ethical issues will be introduced." "3 units" "" ""+
CPSC661 CPSC661 "Algorithms for Distributed Computation" "Fundamental algorithmic problems in distributed computation; impact of communication, timing, failures and other characteristics on computability and complexity of solutions." "3 units" "" ""+
CPSC585 CPSC585 "Games Programming" "Standard techniques for the implementation of computer games. Standard multimedia programming environments and high performance multimedia. Special purpose rendering engines. Interactive control and feedback; modelling." "3 units" "" ""+
CPSC399 CPSC399 "Special Topics in Computer Science" "Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered." "3 units" "" ""+
CPSC219 CPSC219 "Introduction to Computer Science for Multidisciplinary Studies II" "Continuation of Introduction to Computer Science for Multidisciplinary Studies I. Emphasis on object oriented analysis and design of small-scale computational systems and implementation using an object oriented language. Issues of design, modularization and programming style will be emphasized." "3 units" "" ""+
CPSC611 CPSC611 "Complexity Theory" "Deterministic and non-deterministic time and space complexity; complexity classes and hierarchies; NP-complete problems and intractable problems; axiomatic complexity theory." "3 units" "" ""+
CPSC789 CPSC789 "Advanced Geometric Modelling" "Current research topics including spline modelling, Subdivision Surfaces, multiresolution, wavelets, analysis of the subdivision surfaces and reverse subdivision." "3 units" "" ""+
STAT327 STAT327 "" "" "3 units" "" ""+
CPSC599 CPSC599 "Special Topics in Computer Science" "Exploration of various areas in Computer Science. Topics will vary from year-to-year. It will be offered as required to provide the opportunity for students to engage in additional areas in Computer Science. Before registration, consult the Department of Computer Science for topics offered. " "3 units" "" ""+
CPSC662 CPSC662 "Agent Communications" "An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments." "3 units" "" ""+
CPSC767 CPSC767 "Advanced Topics in Multiagent Systems" "An in-depth study of a selected subfield of multiagent systems including state-of-the-art research. This is a project-driven course." "3 units" "" ""+
CPSC321 CPSC321 "" "" "3 units" "" ""+
CPSC457 CPSC457 "Principles of Operating Systems" "An introduction to operating systems principles. Performance measurement; concurrent programs; the management of information, memory and processor resources." "3 units" "" ""+
MATH209 MATH209 "Applied and Computational Linear Algebra for Energy Engineers" "An introduction to systems of linear equations, vectors in Euclidean space, matrix algebra, linear transformations, eigenvalues and engenvectors. Geometrical applications and computing techniques will be emphasized. Students will complete a project using mathematical software. " "3 units" "" ""+
CPSC405 CPSC405 "Software Entrepreneurship " "Development of business models, building software prototypes and creation of pitch presentations to create a software-based business." "3 units" "" ""+
SENG311 SENG311 "" "" "3 units" "" ""+
MATH283 MATH283 "" "" "3 units" "" ""+
CPSC571 CPSC571 "Design and Implementation of Database Systems" "Implementation and design of modern database systems including query modification/optimization, recovery, concurrency, integrity, and distribution." "3 units" "" ""+
ENEL353 ENEL353 "Digital Circuits" "Number systems and simple codes. Combinational logic: Boolean algebra, truth tables, minterms, maxterms, Karnaugh maps; gates, buffers, multiplexers and decoders; combinational circuit timing. Sequential circuits: latches and D flip flops; timing considerations; analysis and synthesis techniques; Mealy and Moore machine models; counters and registers. Introduction to memory arrays." "3 units" "" ""+
CPSC530 CPSC530 "Information Theory and Security  " "Information theoretic concepts such as entropy and mutual information and their applications to defining and evaluating information security systems including encryption, authentication, secret sharing and secure message transmission." "3 units" "" ""+
CPSC449 CPSC449 "Programming Paradigms" "Examination of the basic principles of the major programming language paradigms. Focus on declarative paradigms such as functional and logic programming. Data types, control expressions, loops, types of references, lazy evaluation, different interpretation principles, information hiding." "3 units" "" ""+
CPSC657 CPSC657 "Modelling And Visualization of Plants" "Modelling, simulation and visualization of plants for computer graphics and biological purposes. Modelling of plants as an example of interdisciplinary research including computer science, biology, mathematics and physics. L-systems as a formal basis for model construction. Modelling languages. Information flow in plants. Symmetry, self-similarity and allometry of plants. Descriptive models of plant architecture. Models integrating plant structure and function. Simulation of plant development. Case studies: competition for space, phyllotaxis, tropisms, and biomechanical considerations. Reaction-diffusion models of morphogensis. Genotype-to-phenotype mapping. Modelling of plant ecosystems. Rendering and visualization of the models. A survey of applications and research directions." "3 units" "" ""+
MATH249 MATH249 "Introductory Calculus" "An introduction to single variable calculus. Limits, derivatives and integrals of algebraic, exponential, logarithmic and trigonometric functions play a central role. Additional topics include applications of differentiation; the fundamental theorem of calculus, improper integrals and applications of integration." "3 units" "" ""+
CPSC535 CPSC535 "Introduction to Image Analysis and Computer Vision" "Standard methods used in the analysis of digital images. Image acquisition and display: visual perception; digital representation. Sampling and enhancement. Feature extraction and classification methods. Object recognition." "3 units" "" ""+
CPSC349 CPSC349 "" "" "3 units" "" ""+
CPSC610 CPSC610 "Compiler Code Generation and Optimization" "Compiler code generation and optimization techniques, including register allocation, instruction selection, dataflow analysis, and code optimization techniques using intermediate representations. Implementation of special language features and tools for automated code generation." "3 units" "" ""+
CPSC319 CPSC319 "Data Structures, Algorithms, and Their Applications" "Fundamental data structures, including arrays, lists, stacks, queues, trees, hash tables, and graphs. Algorithms for searching and sorting. Introduction to analysis of algorithms. Applications of these data structures and algorithms. For students wishing to combine studies in computer science with studies in other disciplines." "3 units" "" ""+
CPSC521 CPSC521 "Foundations of Functional Programming" "Theoretical foundations of functional programming: the lambda-calculus, beta-reduction, confluence, and reduction strategies. Programming syntax: solving recursive equations with the Y-combinator, let and letrec, types, datatypes, and patterns. Programming in a functional language: recursion patterns, useful combinators, maps, and folds, for datatypes. Example applications: recursive descent parsing, unification, combinatorial algorithms, theorem proving." "3 units" "" ""+
CPSC625 CPSC625 "Principles of Computer Security" "Security policies and protection mechanisms for a computing system, including such topics as design principles of protection systems, authentication and authorization, reference monitors, security architecture of popular platforms, formal modelling of protection systems, discretionary access control, safety analysis, information flow control, integrity, role-based access control. Legal and ethical considerations will be introduced as necessary." "3 units" "" ""+
CPSC598 CPSC598 "Special Topics in Computer Science" "New areas in Computer Science. It will be offered only as required. Before registration consult the Department of Computer Science for topics offered." "6 units" "" ""+
ENDG319 ENDG319 "" "" "3 units" "" ""+
PMAT329 PMAT329 "" "" "3 units" "" ""+
CPSC203 CPSC203 "Introduction to Problem Solving using Application Software" "Introduction to computer fundamentals; contemporary topics, such as security and privacy, and the Internet and World Wide Web. Problem solving, analysis and design using application software such as spreadsheets and word processors." "3 units" "" ""+
ENEL497 ENEL497 "" "" "3 units" "" ""+
CPSC568 CPSC568 "Agent Communications" "An examination of communication paradigms in multi-agent systems. A number of paradigms will be covered including simple protocols, BDI (Believe, Desire, Intension), and social commitments." "3 units" "" ""+
MATH253 MATH253 "" "" "3 units" "" ""+
